id,prompt,is_android_related
A-00742,Build Material 3 dashboard layout with ViewModel state handling.,1
A-00795,Improve login and signup flow with unit tests and lint checks.,1
A-00200,Optimize DAO queries for dashboard for Android app.,1
N-00246,Create a PowerPoint deck for investor updates.,0
A-01065,Improve lint and static analysis quality gate with flaky test mitigation.,1
N-00247,Generate SQL queries for warehouse ETL dashboard.,0
N-00106,Create a Photoshop workflow for product photos.,0
A-00021,Optimize error mapping for network responses with offline cache fallback.,1
A-00969,Implement Jetpack Compose profile screen with ViewModel state handling.,1
A-01155,Build navigation graph with nested routes for Android 14+.,1
N-00084,Create a Photoshop workflow for product photos.,0
A-00894,Build API client layer with clean architecture boundaries.,1
A-00149,Redesign state-driven settings screen with Compose navigation.,1
A-00104,Increase instrumentation test reliability with flaky test mitigation.,1
A-00838,Build pagination for feed API in an Android app.,1
N-00308,Write a LinkedIn marketing campaign plan for SaaS launch.,0
A-01035,Ship state-driven settings screen with Compose navigation.,1
A-00204,Stabilize crash-free startup flow with flaky test mitigation.,1
N-00232,Create a Photoshop workflow for product photos.,0
A-00491,Create biometric login with MVVM and repository pattern.,1
A-00228,Create password reset screen with unit tests and lint checks.,1
A-00799,Implement Material 3 dashboard layout with ViewModel state handling.,1
A-00606,Migrate DAO queries for dashboard using Kotlin data classes.,1
N-00043,Design a WordPress blog theme for travel agency.,0
N-00218,Improve Excel macros for monthly finance workbook.,0
A-00734,Implement navigation graph with nested routes for Android 14+.,1
A-00203,Build navigation graph with nested routes with ViewModel state handling.,1
N-00292,Design a WordPress blog theme for travel agency.,0
A-00851,Implement state-driven settings screen with ViewModel state handling.,1
A-00150,Increase instrumentation test reliability with flaky test mitigation.,1
A-00097,Build navigation graph with nested routes with ViewModel state handling.,1
A-00336,Optimize synchronization between API and Room with repository layer updates.,1
A-00096,Stabilize crash-free startup flow for Android project.,1
A-00163,Optimize DAO queries for dashboard using Kotlin data classes.,1
A-00589,Improve OAuth token refresh with MVVM and repository pattern.,1
A-01046,Build biometric login with MVVM and repository pattern.,1
N-00001,Create a Photoshop workflow for product photos.,0
N-00186,Create a Photoshop workflow for product photos.,0
A-00780,Migrate local cache invalidation strategy for Android app.,1
A-00206,Design API client layer with offline cache fallback.,1
N-00000,Build an iOS SwiftUI shopping app checkout flow.,0
A-00009,Increase test coverage for ViewModel layer with flaky test mitigation.,1
A-00651,Build OAuth token refresh with unit tests and lint checks.,1
N-00115,Improve Excel macros for monthly finance workbook.,0
N-00233,Design a WordPress blog theme for travel agency.,0
A-00584,Implement local cache invalidation strategy for Android app.,1
A-00372,Optimize pagination for feed API in an Android app.,1
A-01103,Increase lint and static analysis quality gate with Espresso and JUnit.,1
N-00078,Generate SQL queries for warehouse ETL dashboard.,0
N-00253,Generate SQL queries for warehouse ETL dashboard.,0
A-00514,Build biometric login with MVVM and repository pattern.,1
A-01175,Optimize pagination for feed API with clean architecture boundaries.,1
A-01081,Increase crash-free startup flow for Android project.,1
A-00032,Design pagination for feed API in an Android app.,1
A-00749,Redesign Jetpack Compose profile screen with ViewModel state handling.,1
A-00364,Stabilize local cache invalidation strategy with repository layer updates.,1
N-00279,Create a Photoshop workflow for product photos.,0
N-00322,Create a PowerPoint deck for investor updates.,0
N-00248,Build an iOS SwiftUI shopping app checkout flow.,0
