id,category,prompt,difficulty,priority,review_status,review_notes,approved
G-0001,authentication,Implement login and signup flow with clean architecture boundaries; include test coverage for ViewModel and repository.,low,p2,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0002,networking,Build background refresh flow with WorkManager for an Android app using Retrofit and coroutines; include unit and integration testing strategy.,medium,p2,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0003,database,Create Room schema for task and project entities using Kotlin and Room; include conflict resolution strategy.,high,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0004,ui_compose,Implement multi-step checkout UI flow with Navigation Compose and ViewModel; include performance considerations for recomposition.,medium,p2,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0005,testing_quality,Stabilize release readiness checks for core user journeys for a Compose-heavy codebase; include coverage thresholds and enforcement.,low,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0006,authentication,Stabilize session refresh and logout flow with clean architecture boundaries; include test coverage for ViewModel and repository.,low,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0007,networking,Build network layer for feed pagination with Hilt dependency injection; handle HTTP timeout and 429 backoff scenarios.,medium,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0008,database,Implement offline-first synchronization pipeline for Android app data layer; include performance checks for heavy queries.,high,p2,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0009,ui_compose,Polish Compose dashboard screen with filtering in a modular Android app; add screenshot or golden test coverage.,high,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0010,testing_quality,Improve release readiness checks for core user journeys in a multi-module Android project; include coverage thresholds and enforcement.,low,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0011,authentication,Refactor session refresh and logout flow in a Kotlin Android app using MVVM and Compose; include test coverage for ViewModel and repository.,low,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0012,networking,Improve error mapping strategy for API failures using Kotlin serialization; include optimistic UI updates.,medium,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0013,database,Refine offline-first synchronization pipeline for Android app data layer; document rollback behavior for failed sync.,high,p2,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0014,ui_compose,Launch settings module with nested navigation with Navigation Compose and ViewModel; ensure back stack behavior is deterministic.,medium,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0015,testing_quality,Automate lint and static analysis quality gates for a Compose-heavy codebase; include coverage thresholds and enforcement.,low,p2,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0016,authentication,Harden password reset and OTP verification journey with clean architecture boundaries; include edge-case handling for expired tokens.,low,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0017,networking,Improve resilient API client with retry policy with Hilt dependency injection; ensure logs are safe and redact sensitive fields.,high,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0018,database,Refine offline-first synchronization pipeline using Kotlin and Room; include conflict resolution strategy.,high,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0019,ui_compose,Launch profile and account management screens in a modular Android app; ensure back stack behavior is deterministic.,high,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0020,testing_quality,Improve lint and static analysis quality gates in a multi-module Android project; include rollout safety checks.,medium,p2,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0021,authentication,Implement login and signup flow using Retrofit and token-based auth; include test coverage for ViewModel and repository.,high,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0022,networking,Optimize network layer for feed pagination with Hilt dependency injection; ensure logs are safe and redact sensitive fields.,high,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0023,database,Implement offline-first synchronization pipeline in an app with large dataset pagination; define migration tests for schema changes.,high,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0024,ui_compose,Implement multi-step checkout UI flow for tablet and phone form factors; add screenshot or golden test coverage.,low,p1,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0025,testing_quality,Stabilize lint and static analysis quality gates for a legacy module under refactor; include coverage thresholds and enforcement.,high,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
G-0026,authentication,Harden multi-step onboarding with account creation using Retrofit and token-based auth; include accessibility requirements for forms.,low,p0,human_reviewed_approved,Approved for production-ready baseline set.,yes
